node,x_m,y_m,temperature_K,potential_V
59,0.1,0.0475,293.15,0
60,0.1,0.05,293.15,0
61,0.1,0.052500000000000005,293.15,0
62,0.1,0.05499999999999999,293.15,0
63,0.1,0.057499999999999996,293.15,0
64,0.1,0.06,293.15,0
65,0.0975,0.06,294.1035923145298,0.0029930338735143437
66,0.095,0.06,295.0537364026073,0.005998023257333974
67,0.0925,0.06,296.0041765068471,0.009026911822401729
68,0.09,0.06,296.95921104964543,0.01209058072737806
69,0.0875,0.06,302.79415099459584,0.03299799930822025
70,0.08499999999999999,0.06,308.34020920349565,0.05427975307935052
71,0.0825,0.06,313.6077749666454,0.07601501903379011
72,0.08,0.06,318.59944185285633,0.09827670420759405
73,0.0775,0.06,323.30958613060074,0.12112374170767005
74,0.075,0.06,327.7238483863128,0.14459190260322397
